                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1186,                 4.0808,                 1.6505,                 0.0021,                0.22024,                0.00182,                0.00062,                 2.0722,                 4.0633,                 1.5427,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.0264,                 3.3095,                 1.4696,                0.00511,                0.40833,                0.13687,                0.04996,                 1.8798,                 3.7897,                 1.3832,             0.00027404,             0.00027404,             0.00027404
                      3,                 2.0398,                 2.5059,                  1.372,                0.00853,                 0.6131,                0.18601,                0.07159,                 1.7767,                 3.4553,                 1.2957,             0.00040481,             0.00040481,             0.00040481
                      4,                 1.9827,                 2.3177,                 1.4192,                0.00489,                0.33452,                0.12087,                0.04781,                 2.0197,                 3.6225,                 1.5091,             0.00052569,             0.00052569,             0.00052569
                      5,                 1.8702,                 2.2523,                  1.437,                0.00338,                0.20476,                0.05077,                0.01401,                 2.2093,                 3.8176,                 1.7064,             0.00063666,             0.00063666,             0.00063666
                      6,                 1.7903,                  1.954,                 1.3547,                0.88888,                  0.075,                0.20422,                0.06511,                 2.1132,                 3.4018,                  1.598,             0.00073773,             0.00073773,             0.00073773
                      7,                 1.8264,                 1.7871,                  1.322,                0.77813,                0.01667,                0.32159,                0.10208,                 2.1295,                 3.3121,                 1.6368,              0.0008289,              0.0008289,              0.0008289
                      8,                 1.8929,                 1.7314,                 1.3489,                      1,                0.23222,                0.52368,                0.26163,                 1.9327,                 3.0575,                 1.3962,             0.00091017,             0.00091017,             0.00091017
                      9,                 1.8442,                 1.7071,                 1.3527,                0.92362,                0.13874,                0.55612,                0.23369,                 1.9154,                 2.8094,                 1.3406,             0.00098153,             0.00098153,             0.00098153
                     10,                 1.8715,                 1.6792,                 1.3759,                0.82382,                0.50706,                  0.745,                0.33527,                 1.8991,                 2.1501,                 1.3277,               0.001043,               0.001043,               0.001043
                     11,                 1.7626,                 1.6774,                  1.353,                0.75784,                0.55595,                 0.7273,                0.32773,                 1.9763,                 2.2359,                 1.3345,              0.0010946,              0.0010946,              0.0010946
                     12,                 1.7253,                  1.629,                 1.3058,                0.59918,                0.46117,                0.58683,                0.25249,                  2.081,                 2.1862,                 1.3836,              0.0010619,              0.0010619,              0.0010619
